frame,queue density
1,0.0245289
2,0.0275852
3,0.0298676
4,0.0305408
5,0.0307062
6,0.0308662
7,0.0309076
8,0.0309966
9,0.0310878
10,0.0310867
11,0.03118
12,0.031162
13,0.0311599
14,0.0311684
15,0.0308588
16,0.0309754
17,0.0449371
18,0.0474146
19,0.0494118
20,0.0510105
21,0.0524523
22,0.0533067
23,0.0535654
24,0.053894
25,0.0540212
26,0.0538675
27,0.0539597
28,0.0538431
29,0.0539915
30,0.0539968
31,0.0538876
32,0.0544145
33,0.0600236
34,0.0606586
35,0.0599568
36,0.0567743
37,0.0557884
38,0.0559114
39,0.0560757
40,0.056927
41,0.0572143
42,0.0570362
43,0.0584292
44,0.0604593
45,0.061954
46,0.0637891
47,0.0633661
48,0.0578026
49,0.0616095
50,0.0625244
51,0.0636343
52,0.0633545
53,0.0618639
54,0.0610317
55,0.0601041
56,0.0609565
57,0.0592561
58,0.0595698
59,0.0596642
60,0.0653347
61,0.0653061
62,0.0624417
63,0.0615205
64,0.0604519
65,0.0596059
66,0.0595592
67,0.0584292
68,0.0569821
69,0.0568549
70,0.0570553
71,0.0572758
72,0.0574168
73,0.0576606
74,0.0576722
75,0.0576595
76,0.0577878
77,0.0583041
78,0.0587748
79,0.0590843
80,0.0592137
81,0.063223
82,0.0627937
83,0.0571804
84,0.0569588
85,0.056716
86,0.0568358
87,0.0569768
88,0.0573001
89,0.0573934
90,0.0563005
91,0.0612872
92,0.0613604
93,0.0580337
94,0.0577857
95,0.0575588
96,0.0573797
97,0.0565517
98,0.0570086
99,0.0572037
100,0.0570192
101,0.0571083
102,0.0571751
103,0.0571899
104,0.0572683
105,0.0570097
106,0.0568655
107,0.0567849
108,0.0567065
109,0.0565199
110,0.0565517
111,0.0565432
112,0.0565008
113,0.0565644
114,0.0565072
115,0.0565369
116,0.0566948
117,0.0566832
118,0.0567192
119,0.0565602
120,0.0565676
121,0.0565125
122,0.0564828
123,0.0568263
124,0.0567022
125,0.0567733
126,0.0567372
127,0.0567966
128,0.0567977
129,0.0568687
130,0.0570044
131,0.0568973
132,0.0568729
133,0.056892
134,0.0570266
135,0.0570595
136,0.0571984
137,0.0573203
138,0.0570213
139,0.0571973
140,0.056803
141,0.0569206
142,0.0571422
143,0.0572312
144,0.056963
145,0.0569217
146,0.0568072
147,0.0568888
148,0.0573542
149,0.0574825
150,0.0574062
151,0.0575768
152,0.0577878
153,0.0580496
154,0.0581482
155,0.0735761
156,0.0733407
157,0.0694215
158,0.0702356
159,0.0750581
160,0.0761744
161,0.0720124
162,0.0726082
163,0.0727672
164,0.0781653
165,0.0728054
166,0.0765709
167,0.0728668
168,0.0731435
169,0.0734457
170,0.0792222
171,0.0797353
172,0.0799346
173,0.0801583
174,0.0803608
175,0.0804572
176,0.0805071
177,0.0804615
178,0.0806778
179,0.0805145
180,0.0815831
181,0.0825414
182,0.0815778
183,0.0827429
184,0.0833312
185,0.0844359
186,0.0849903
187,0.0857207
188,0.0855956
189,0.0861723
190,0.0841687
191,0.0839387
192,0.084157
193,0.0833842
194,0.0845779
195,0.085144
196,0.0804604
197,0.0860557
198,0.0825531
199,0.0814707
200,0.0816743
201,0.0814453
202,0.0823495
203,0.0845556
204,0.0850348
205,0.0866059
206,0.0861946
207,0.0868699
208,0.0893558
209,0.0895042
210,0.0894587
211,0.0894862
212,0.0889657
213,0.0884929
214,0.0876544
215,0.0852129
216,0.0856062
217,0.0864426
218,0.0866642
219,0.0866144
220,0.0868688
221,0.0869526
222,0.0868752
223,0.0869314
224,0.0865773
225,0.086643
226,0.0868349
227,0.087048
228,0.087083
229,0.0867596
230,0.0868656
231,0.0869632
232,0.0874445
233,0.0875049
234,0.0877243
235,0.0881176
236,0.0879342
237,0.0884399
238,0.0882692
239,0.0893145
240,0.0880116
241,0.088776
242,0.0891099
243,0.0891014
244,0.0891587
245,0.0894661
246,0.0878378
247,0.0873586
248,0.0855797
249,0.0862592
250,0.0859635
251,0.0857642
252,0.0860133
253,0.0860716
254,0.0857133
255,0.0853157
256,0.0847115
257,0.0856253
258,0.0857716
259,0.0862592
260,0.086749
261,0.0884219
262,0.0886275
263,0.0889116
264,0.0888364
265,0.087278
266,0.0872208
267,0.0866483
268,0.0877953
269,0.0888321
270,0.0894693
271,0.0889806
272,0.0894163
273,0.0886085
274,0.0885703
275,0.0892816
276,0.0897523
277,0.0907244
278,0.0890357
279,0.0884293
280,0.0889148
281,0.0891385
282,0.0880699
283,0.0879183
284,0.0864045
285,0.0867458
286,0.0852627
287,0.0850899
288,0.0853603
289,0.0843797
290,0.0841772
291,0.084827
292,0.0852649
293,0.084227
294,0.0847655
295,0.0842737
296,0.0846935
297,0.0850846
298,0.0852627
299,0.0848928
300,0.0848599
301,0.0850698
302,0.0855203
303,0.0858288
304,0.0859083
305,0.0852087
306,0.0835432
307,0.0835814
308,0.0839524
309,0.0838782
310,0.0827174
311,0.0828489
312,0.0844539
313,0.085691
314,0.0869907
315,0.0936906
316,0.0932454
317,0.0929327
318,0.0887102
319,0.0892138
320,0.0889848
321,0.0889392
322,0.0889954
323,0.0897566
324,0.0914305
325,0.0910213
326,0.0859274
327,0.0952628
328,0.0944847
329,0.0942239
330,0.0939853
331,0.093415
332,0.0933005
333,0.0935274
334,0.0935443
335,0.0816499
336,0.0816425
337,0.0873331
338,0.0873215
339,0.0823665
340,0.0824545
341,0.0825637
342,0.0825923
343,0.0827418
344,0.0827248
345,0.0822117
346,0.0823994
347,0.0822955
348,0.0820856
349,0.0823008
350,0.0822711
351,0.082392
352,0.0823697
353,0.0824004
354,0.0811304
355,0.0810456
356,0.0817622
357,0.0814485
358,0.082251
359,0.0823146
360,0.0823941
361,0.0823941
362,0.082833
363,0.0828616
364,0.0828298
365,0.0829634
366,0.0830047
367,0.0830248
368,0.0830089
369,0.0833948
370,0.0820697
371,0.082058
372,0.0820305
373,0.0819276
374,0.0813562
375,0.0813806
376,0.082146
377,0.0821036
378,0.0823315
379,0.0826156
380,0.0838189
381,0.0840086
382,0.0846733
383,0.0849807
384,0.084914
385,0.084439
386,0.085426
387,0.0842525
388,0.0917072
389,0.0841009
390,0.0831998
391,0.0837054
392,0.083327
393,0.0830471
394,0.0829581
395,0.0818672
396,0.0820813
397,0.0819541
398,0.0818259
399,0.08211
400,0.0822181
401,0.0826135
402,0.0827291
403,0.0828319
404,0.082058
405,0.0820453
406,0.0820029
407,0.0824418
408,0.0820824
409,0.0823442
410,0.0834478
411,0.0835358
412,0.08368
413,0.0853507
414,0.0863695
415,0.0874052
416,0.0849913
417,0.0821661
418,0.0823336
419,0.0817485
420,0.0805929
421,0.0806809
422,0.081247
423,0.0815216
424,0.0815322
425,0.0815269
426,0.0770776
427,0.0760875
428,0.075991
429,0.0774582
430,0.0831796
431,0.084667
432,0.0854525
433,0.0865158
434,0.0872621
435,0.0863822
436,0.086237
437,0.0847496
438,0.0836058
439,0.0825584
440,0.0824937
441,0.0824397
442,0.0824375
443,0.08271
444,0.0827524
445,0.0829782
446,0.0831203
447,0.0834542
448,0.0843659
449,0.0853518
450,0.0869155
451,0.0880752
452,0.090012
453,0.0908039
454,0.0905813
455,0.0901774
456,0.0889806
457,0.0885353
458,0.0865264
459,0.086361
460,0.0862073
461,0.0861342
462,0.0847072
463,0.0859688
464,0.0851928
465,0.0846617
466,0.0837097
467,0.0832231
468,0.0822541
469,0.0819032
470,0.0865444
471,0.0865677
472,0.0863769
473,0.0868699
474,0.0881219
475,0.0851069
476,0.094349
477,0.0973629
478,0.0900354
479,0.100353
480,0.102756
481,0.10073
482,0.104943
483,0.103377
484,0.102878
485,0.106348
486,0.0920538
487,0.101158
488,0.104976
489,0.1094
490,0.10719
491,0.108841
492,0.106394
493,0.11012
494,0.115795
495,0.12082
496,0.120913
497,0.120113
498,0.134494
499,0.124816
500,0.108605
501,0.111263
502,0.118321
503,0.122942
504,0.124927
505,0.123743
506,0.108861
507,0.104325
508,0.104501
509,0.101565
510,0.0943712
511,0.0932263
512,0.0898615
513,0.0876035
514,0.0928966
515,0.087014
516,0.0945864
517,0.0999135
518,0.0973639
519,0.0957557
520,0.0973904
521,0.0841645
522,0.0873406
523,0.0749256
524,0.0784759
525,0.0908485
526,0.0926422
527,0.0912344
528,0.0928139
529,0.0919065
530,0.0964522
531,0.108056
532,0.108212
533,0.103425
534,0.10029
535,0.117636
536,0.11176
537,0.107337
538,0.128294
539,0.115708
540,0.125751
541,0.137039
542,0.132968
543,0.129912
544,0.135391
545,0.109521
546,0.110898
547,0.102248
548,0.106124
549,0.0979661
550,0.0843521
551,0.091881
552,0.0971678
553,0.0958363
554,0.0875324
555,0.0836206
556,0.0632188
557,0.0706014
558,0.0736662
559,0.0906396
560,0.102854
561,0.11617
562,0.126142
563,0.11402
564,0.108397
565,0.114703
566,0.119044
567,0.113666
568,0.11979
569,0.120955
570,0.11701
571,0.10428
572,0.108722
573,0.0784017
574,0.071583
575,0.0940161
576,0.104291
577,0.109838
578,0.114815
579,0.113755
580,0.106435
581,0.0987887
582,0.0904721
583,0.0621131
584,0.0588776
585,0.0542576
586,0.0712809
587,0.0661839
588,0.0582277
589,0.08114
590,0.0687907
591,0.073081
592,0.0723378
593,0.0663249
594,0.0453771
595,0.0446647
596,0.0546022
597,0.0440413
598,0.0470054
599,0.0444611
600,0.0595115
601,0.0760133
602,0.0918227
603,0.0912291
604,0.0863133
605,0.0739513
606,0.0646382
607,0.0544908
608,0.0648132
609,0.0770638
610,0.0606119
611,0.0821121
612,0.0903025
613,0.0945133
614,0.0891491
615,0.0699865
616,0.0444961
617,0
618,0.0161476
619,0.0206531
620,0.0198686
621,0.0339692
622,0.0224065
623,0.0270297
624,0.0346243
625,0.0394754
626,0.0436395
627,0.0422731
628,0.0601508
629,0.0734128
630,0.0644517
631,0.0645799
632,0.0561584
633,0.0687727
634,0.0834489
635,0.0853359
636,0.0551651
637,0.0459421
638,0.041638
639,0.038127
640,0.0290693
641,0.0350251
642,0.0262579
643,0.0456219
644,0.0730333
645,0.0857642
646,0.0820156
647,0.0901774
648,0.0865296
649,0.0798286
650,0.0560058
651,0.0485871
652,0.0366746
653,0.0270255
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0.0176594
675,0.0496451
676,0.0432865
677,0.0344664
678,0.0396026
679,0.0628106
680,0.0646987
681,0.0581122
682,0.0556485
683,0.0466948
684,0.0449202
685,0.0292156
686,0.035624
687,0.0321055
688,0.0405652
689,0.028287
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0.0175682
711,0.0219995
712,0.0194732
713,0.018712
714,0.0304369
715,0.0376902
716,0.0392337
717,0.0477167
718,0.0618512
719,0.0690292
720,0.0756327
721,0.0798297
722,0.0805092
723,0.0810785
724,0.0791692
725,0.0689646
726,0.0644368
727,0.0625297
728,0.0478079
729,0.0377167
730,0.0263438
731,0.0260226
732,0.0155996
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0.0153313
767,0.0424437
768,0.0476044
769,0.0449286
770,0.0402207
771,0.0381916
772,0.0291457
773,0.0253229
774,0
775,0
776,0.0121436
777,0.0122061
778,0
779,0
780,0.0119008
781,0.0133638
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0.0110771
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0.037617
803,0.0449191
804,0.0440689
805,0.0417229
806,0.019999
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0.0175078
819,0.0311408
820,0.030826
821,0.0284343
822,0.0218076
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0.0130977
835,0.0119464
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0.0210337
847,0.0410709
848,0.0379276
849,0.0578111
850,0.0537912
851,0.0330395
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0.0120153
885,0.0300871
886,0.033207
887,0.0197245
888,0.0147069
889,0.0333617
890,0.0547718
891,0.0395316
892,0.0555912
893,0.0651248
894,0.0654249
895,0.0598889
896,0.0530745
897,0.0302832
898,0.0160056
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0.0119878
915,0
916,0
917,0
