frame,queue density
1,0.112936
2,0.125217
3,0.133507
4,0.154693
5,0.155575
6,0.162282
7,0.161581
8,0.163713
9,0.168451
10,0.217526
11,0.231097
12,0.230498
13,0.269603
14,0.269944
15,0.275525
16,0.273569
17,0.277304
18,0.256612
19,0.24751
20,0.250871
21,0.245113
22,0.250364
23,0.248553
24,0.248097
25,0.247277
26,0.249089
27,0.24494
28,0.237729
29,0.23792
30,0.236949
31,0.238386
32,0.25224
33,0.236674
34,0.238224
35,0.256837
36,0.251809
37,0.251845
38,0.254535
39,0.262807
40,0.260931
41,0.260516
42,0.262574
43,0.269125
44,0.277563
45,0.282985
46,0.335626
47,0.367966
48,0.405669
49,0.425966
50,0.439611
51,0.468133
52,0.482145
53,0.48269
54,0.486618
55,0.483992
56,0.511946
57,0.559413
58,0.578464
59,0.588182
60,0.597875
61,0.617457
62,0.616909
63,0.598507
64,0.611022
65,0.638086
66,0.653611
67,0.68307
68,0.726321
69,0.753394
70,0.821687
71,0.815848
72,0.80268
73,0.807044
74,0.804372
75,0.801202
76,0.801752
77,0.801993
78,0.808154
79,0.80834
80,0.804358
81,0.806287
82,0.801382
83,0.792927
84,0.794705
85,0.778388
86,0.76934
87,0.797832
88,0.814455
89,0.824773
90,0.84473
91,0.835325
92,0.843024
93,0.843963
94,0.842809
95,0.842151
96,0.841077
97,0.840886
98,0.841004
99,0.84151
100,0.841809
101,0.842161
102,0.820823
103,0.820215
104,0.833746
105,0.844046
106,0.857461
107,0.865692
108,0.868792
109,0.864522
110,0.863894
111,0.860927
112,0.837223
113,0.852729
114,0.851987
115,0.821772
116,0.83066
117,0.846687
118,0.819219
119,0.818694
120,0.821637
121,0.846347
122,0.849812
123,0.851443
124,0.846766
125,0.84455
126,0.843418
127,0.842549
128,0.843214
129,0.834734
130,0.841609
131,0.843603
132,0.845808
133,0.846716
134,0.84717
135,0.824186
136,0.825245
137,0.828878
138,0.852478
139,0.844653
140,0.840425
141,0.84331
142,0.846207
143,0.84128
144,0.854333
145,0.852552
146,0.830491
147,0.823099
148,0.845314
149,0.830824
150,0.846126
151,0.850048
152,0.827165
153,0.822979
154,0.836585
155,0.840364
156,0.83837
157,0.812016
158,0.818932
159,0.825595
160,0.840927
161,0.858461
162,0.86991
163,0.879651
164,0.84846
165,0.844498
166,0.869904
167,0.845625
168,0.868764
169,0.770121
170,0.798847
171,0.780923
172,0.790991
173,0.726542
174,0.681945
175,0.647742
176,0.66013
177,0.791014
178,0.79122
179,0.772478
180,0.711991
181,0.703085
182,0.630041
183,0.627286
184,0.639685
185,0.612259
186,0.585754
187,0.621793
188,0.655481
189,0.696173
190,0.623973
191,0.564291
192,0.557203
193,0.472506
194,0.386973
195,0.354177
196,0.335777
197,0.373115
198,0.34403
199,0.3079
200,0.308291
201,0.336148
202,0.285884
203,0.305592
204,0.274521
205,0.213902
206,0.150206
207,0.189342
208,0.223472
209,0.26145
210,0.275067
211,0.311442
212,0.332872
213,0.300653
214,0.297726
215,0.265249
216,0.168932
217,0.0582076
218,0
219,0
220,0
221,0
222,0
223,0.0998912
224,0.217099
225,0.302639
226,0.294757
227,0.24744
228,0.145122
229,0.0556612
230,0
231,0
232,0
233,0
234,0.05825
235,0.141506
236,0.242983
237,0.29968
238,0.280376
239,0.25012
240,0.250332
241,0.208093
242,0.132243
243,0.0582808
244,0.0155996
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0.0274643
253,0.0708961
254,0.0924535
255,0.107379
256,0.119538
257,0.073116
258,0.017583
259,0.0388383
260,0.0226694
261,0
262,0.0140476
263,0.0162939
264,0.0166215
265,0.0386485
266,0.0845906
267,0.105823
268,0.0681939
269,0
270,0
271,0.0464054
272,0.0627512
273,0.0648407
274,0.0218076
275,0
276,0.0157565
277,0.0222125
278,0.0229748
279,0.0387302
280,0.0783042
281,0.0996326
282,0.11543
283,0.0835454
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0.0327522
293,0.0662835
294,0.155499
295,0.218352
296,0.190461
297,0.198838
298,0.141755
299,0.0923422
300,0.0678451
301,0.0602557
302,0.0745174
303,0.0757058
304,0.0986954
305,0.109621
306,0.120662
307,0.147771
308,0.159333
309,0.165261
310,0.160159
311,0.164757
312,0.166259
313,0.165418
314,0.178059
315,0.175248
316,0.178139
317,0.181434
318,0.177941
319,0.186668
320,0.185748
321,0.188414
322,0.193685
323,0.188498
324,0.182368
325,0.171112
326,0.178781
327,0.183998
328,0.228446
329,0.272968
330,0.310563
331,0.350844
332,0.393197
333,0.440541
334,0.476145
335,0.587009
336,0.593064
337,0.616024
338,0.605738
339,0.606536
340,0.621822
341,0.696755
342,0.731115
343,0.790545
344,0.788092
345,0.803012
346,0.738953
347,0.735599
348,0.730993
349,0.738443
350,0.810415
351,0.813785
352,0.809592
353,0.809373
354,0.805605
355,0.841462
356,0.840619
357,0.841615
358,0.846318
359,0.847746
360,0.846323
361,0.848289
362,0.848843
363,0.848758
364,0.850592
365,0.835166
366,0.844659
367,0.877225
368,0.834894
369,0.83799
370,0.858626
371,0.85868
372,0.86045
373,0.845503
374,0.847425
375,0.844934
376,0.842835
377,0.87065
378,0.87818
379,0.87251
380,0.87241
381,0.844949
382,0.816356
383,0.81703
384,0.818424
385,0.850651
386,0.882983
387,0.844252
388,0.857186
389,0.841608
390,0.843128
391,0.844834
392,0.8454
393,0.84234
394,0.844749
395,0.847637
396,0.881839
397,0.849824
398,0.86751
399,0.868253
400,0.844717
401,0.833406
402,0.839875
403,0.850907
404,0.855147
405,0.829653
406,0.848404
407,0.843883
408,0.81166
409,0.817673
410,0.840018
411,0.812256
412,0.817263
413,0.821992
414,0.839171
415,0.839476
416,0.84041
417,0.839484
418,0.84042
419,0.839371
420,0.838409
421,0.839146
422,0.879953
423,0.879251
424,0.820466
425,0.836743
426,0.838215
427,0.849069
428,0.845176
429,0.846233
430,0.843414
431,0.832347
432,0.836088
433,0.85028
434,0.847259
435,0.847361
436,0.845839
437,0.846516
438,0.848025
439,0.844435
440,0.84551
441,0.841686
442,0.841668
443,0.842261
444,0.841253
445,0.841786
446,0.843948
447,0.842473
448,0.843927
449,0.843101
450,0.84185
451,0.842903
452,0.843568
453,0.845653
454,0.845654
455,0.841243
456,0.845583
457,0.846346
458,0.84573
459,0.848643
460,0.849958
461,0.849403
462,0.896035
463,0.90843
464,0.925447
465,0.92411
466,0.917093
467,0.909477
468,0.96512
469,0.967498
470,0.913061
471,0.809747
472,0.726739
473,0.787801
474,0.708176
475,0.722904
476,0.669751
477,0.644453
478,0.750633
479,0.745281
480,0.69482
481,0.661282
482,0.628788
483,0.603207
484,0.593454
485,0.569805
486,0.552354
487,0.527892
488,0.492274
489,0.459793
490,0.453759
491,0.468856
492,0.458637
493,0.475728
494,0.46059
495,0.469345
496,0.437044
497,0.471402
498,0.416921
499,0.402727
500,0.484594
501,0.591011
502,0.615992
503,0.674505
504,0.687384
505,0.588663
506,0.576715
507,0.604948
508,0.522567
509,0.486096
510,0.518406
511,0.475772
512,0.474246
513,0.405666
514,0.343255
515,0.389343
516,0.435091
517,0.411433
518,0.351992
519,0.313271
520,0.276449
521,0.304737
522,0.266062
523,0.274154
524,0.386291
525,0.400513
526,0.364731
527,0.351322
528,0.282784
529,0.202608
530,0.118127
531,0.0372524
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0.0465771
548,0.118376
549,0.145146
550,0.116648
551,0.0719604
552,0.0492751
553,0.105401
554,0.13297
555,0.139563
556,0.0980297
557,0.0302387
558,0
559,0.0171738
560,0.0221786
561,0.0465538
562,0.086273
563,0.157213
564,0.20678
565,0.163997
566,0.111354
567,0.0603045
568,0.0423441
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0.0577846
586,0.0736746
587,0.0826739
588,0.125388
589,0.177212
590,0.195673
591,0.18636
592,0.194412
593,0.235593
594,0.249209
595,0.283943
596,0.297608
597,0.314948
598,0.321867
599,0.346273
600,0.362723
601,0.379273
602,0.404321
603,0.431246
604,0.46266
605,0.493687
606,0.517267
607,0.498323
608,0.470135
609,0.489358
610,0.538104
611,0.598571
612,0.626595
613,0.625931
614,0.677672
615,0.723274
616,0.756533
617,0.766422
618,0.79868
619,0.829924
620,0.850017
621,0.899508
622,0.878665
623,0.881968
624,0.8904
625,0.882389
626,0.881339
627,0.893929
628,0.869585
629,0.875844
630,0.874317
631,0.878635
632,0.887701
633,0.87077
634,0.877493
635,0.878462
636,0.885183
637,0.887023
