time(in secs),queue density,dynamic density
53,0.824694,0.0176064
53,0.826482,0.0212129
53,0.824773,0.0313645
53,0.843014,0.0343455
53,0.844044,0.0374951
54,0.84473,0.0417589
54,0.835097,0.0638697
54,0.836525,0.0662093
54,0.835325,0.0731372
54,0.841052,0.0206139
55,0.842314,0.0419402
55,0.843024,0.045676
55,0.844806,0.0245352
55,0.844096,0.0223525
55,0.843963,0.0287481
56,0.844174,0.0215807
56,0.844178,0.0180516
56,0.842809,0.0469026
56,0.842741,0.0169554
56,0.841395,0.020369
57,0.842151,0.0220005
57,0.840905,0.0177951
57,0.840832,0.0174049
57,0.841077,0.0418914
57,0.840552,0.0312553
58,0.829379,0.0288022
58,0.840886,0.0203298
58,0.830578,0.029593
58,0.84005,0.0208832
58,0.841004,0
59,0.825983,0.0179191
59,0.841133,0.0154575
59,0.84151,0.016966
59,0.841931,0.0161657
59,0.841727,0.0229483
60,0.841809,0.0170996
60,0.842055,0.0219836
60,0.841331,0.0594744
60,0.842161,0.0163544
60,0.842414,0.0148819
61,0.842267,0.0149084
61,0.820823,0
61,0.820061,0
61,0.820131,0
61,0.820215,0
62,0.822766,0
62,0.823918,0.015836
62,0.833746,0
62,0.833674,0.0162261
62,0.836583,0.0209701
63,0.844046,0.0275778
63,0.844821,0.0272322
63,0.844861,0.0228539
63,0.857461,0.0309214
63,0.858509,0.023102
64,0.858503,0.0192198
64,0.865692,0.0267413
64,0.866286,0.0212733
64,0.867349,0.0163363
64,0.868792,0.0156006
65,0.868133,0.0180293
65,0.863517,0
65,0.864522,0.0187184
65,0.864002,0
65,0.863503,0
66,0.863894,0
66,0.863966,0
66,0.860102,0
66,0.860927,0
66,0.861179,0.0163978
67,0.836431,0.0402938
67,0.837223,0.0155625
67,0.856087,0.027265
67,0.855626,0.0254862
67,0.852729,0.0295602
68,0.852197,0.0273202
68,0.85276,0.0254597
68,0.851987,0.0281672
68,0.851984,0.0255159
68,0.850996,0.0306669
69,0.821772,0.0406267
69,0.831629,0.0380729
69,0.831055,0.0246434
69,0.83066,0.025131
69,0.831458,0.023543
70,0.847386,0.0394129
70,0.846687,0.0198432
70,0.845942,0.0348544
70,0.845247,0.019293
70,0.819219,0.0219168
71,0.819123,0.0272502
71,0.818717,0.0218383
71,0.818694,0.0288849
71,0.820062,0.0190937
71,0.820379,0.0178417
72,0.821637,0.0173159
72,0.82193,0.0178406
72,0.845525,0.0219465
72,0.846347,0.0178671
72,0.847691,0.0207114
73,0.848752,0.0163014
73,0.849812,0.0186643
73,0.850644,0.019981
73,0.850411,0.0180134
73,0.851443,0.0185986
74,0.849114,0.0204209
74,0.847204,0.0213199
74,0.846766,0.0213475
74,0.844708,0.0222783
74,0.845627,0.0208143
75,0.84455,0.0203658
75,0.844844,0.0215245
75,0.844042,0.024654
75,0.843418,0.0265039
75,0.841848,0.028041
76,0.842299,0.022838
76,0.842549,0.0196714
76,0.843056,0
76,0.843528,0.0172152
76,0.843214,0.021392
77,0.842644,0.0248437
77,0.843118,0.0222878
77,0.834734,0.0251268
77,0.84973,0.0224235
77,0.842612,0.0216125
78,0.841609,0.0209192
78,0.842594,0.0227627
78,0.842637,0.0220578
78,0.843603,0.0242713
78,0.842949,0.0264859
79,0.842868,0.0250717
79,0.845808,0.0274368
79,0.846179,0.0233924
79,0.846163,0.0195538
79,0.846716,0.0193418
80,0.846747,0.0160787
80,0.847181,0
80,0.84717,0
80,0.847547,0
80,0.823612,0.0571072
81,0.824186,0
81,0.824864,0
81,0.825308,0
81,0.825245,0
81,0.825838,0
82,0.827373,0
82,0.828878,0
82,0.850357,0.0182361
82,0.852214,0
82,0.852478,0.0191276
83,0.849968,0
83,0.847394,0.0174887
83,0.844653,0.0164423
83,0.84535,0.0179286
83,0.845585,0
84,0.840425,0.0168091
84,0.838313,0
84,0.842435,0
84,0.84331,0
84,0.846534,0
85,0.84901,0
85,0.846207,0.0168399
85,0.839537,0.0238589
85,0.837178,0.0182424
85,0.84128,0.021127
86,0.848358,0.0182594
86,0.851787,0
86,0.854333,0.0217556
86,0.854223,0.0223005
86,0.854483,0.0166257
87,0.852552,0
87,0.851509,0
87,0.849607,0.0154946
87,0.830491,0
87,0.831369,0
88,0.831263,0
88,0.823099,0
88,0.821051,0
88,0.845539,0
88,0.845314,0
89,0.836092,0.0279912
89,0.829708,0.0352784
89,0.830824,0.0361138
89,0.843941,0.0370382
89,0.844741,0.0340837
90,0.846126,0.0300881
90,0.847441,0.034424
90,0.849276,0.0334646
90,0.850048,0.0346689
90,0.828174,0.0378492
91,0.827822,0
91,0.827165,0.0298538
91,0.826704,0.0181173
91,0.823874,0.0167604
91,0.822979,0.0177124
92,0.822302,0.0178035
92,0.82158,0.0181947
92,0.836585,0.0164582
92,0.837351,0
92,0.836709,0
93,0.840364,0
93,0.835511,0
93,0.835104,0
93,0.83837,0
93,0.838126,0
94,0.81874,0
94,0.812016,0
94,0.816024,0.0185626
94,0.81126,0.044988
94,0.818932,0.0808399
95,0.809948,0.0556421
95,0.826541,0.0752659
95,0.825595,0.150502
95,0.819837,0.140667
95,0.832258,0.123982
96,0.840927,0.160221
96,0.843975,0.216348
96,0.853714,0.312208
96,0.858461,0.20617
96,0.862511,0.27334
97,0.871946,0.0746722
97,0.86991,0.0453771
97,0.872362,0.300369
97,0.87577,0.0849203
97,0.879651,0.26962
98,0.870574,0.279343
98,0.848624,0.288936
98,0.84846,0.323034
98,0.847118,0.416725
98,0.86391,0.379683
99,0.844498,0.402896
99,0.854312,0.459768
99,0.857768,0.389401
99,0.869904,0.373484
99,0.856647,0.395454
100,0.843023,0.513109
100,0.845625,0.625204
100,0.853784,0.528803
100,0.860413,0.545707
100,0.868764,0.558585
101,0.806264,0.596468
101,0.803017,0.567403
101,0.770121,0.581832
101,0.803041,0.524509
101,0.80886,0.5568
102,0.798847,0.554353
102,0.778836,0.561855
102,0.791592,0.559144
102,0.780923,0.539152
102,0.813838,0.562183
103,0.768458,0.545322
103,0.790991,0.551014
103,0.730059,0.561493
103,0.725534,0.605488
103,0.726542,0.582373
104,0.710437,0.598284
104,0.681816,0.575213
104,0.681945,0.587496
104,0.653798,0.582557
104,0.640168,0.590512
105,0.647742,0.584143
105,0.651854,0.61825
105,0.652975,0.605079
105,0.66013,0.591717
105,0.655745,0.604488
106,0.668874,0.604953
106,0.791014,0.618414
106,0.68611,0.610622
106,0.785374,0.620352
106,0.79122,0.611771
107,0.792531,0.617901
107,0.785445,0.632086
107,0.772478,0.596648
107,0.757597,0.568295
107,0.721927,0.544347
108,0.711991,0.5113
108,0.708465,0.490097
108,0.696947,0.410792
108,0.703085,0.492646
108,0.697529,0.59638
109,0.63133,0.522881
109,0.630041,0.529365
109,0.648819,0.543708
109,0.643704,0.572661
109,0.627286,0.559663
110,0.601471,0.567275
110,0.608788,0.576373
110,0.639685,0.566756
110,0.634553,0.578496
110,0.624881,0.542497
111,0.612259,0.494672
111,0.588047,0.525317
111,0.599389,0.514191
111,0.585754,0.486981
111,0.604191,0.517197
112,0.616059,0.472485
112,0.621793,0.52481
112,0.64498,0.492811
112,0.609635,0.465553
112,0.655481,0.485398
113,0.671135,0.500146
113,0.689913,0.505786
113,0.696173,0.472232
113,0.672731,0.569652
113,0.665002,0.572527
114,0.623973,0.540974
114,0.609617,0.379478
114,0.633288,0.549715
114,0.564291,0.534646
114,0.553077,0.493284
115,0.550948,0.468472
115,0.557203,0.509132
115,0.523645,0.518701
115,0.607657,0.500777
115,0.472506,0.517368
116,0.454007,0.557035
116,0.412222,0.515213
116,0.386973,0.477105
116,0.359668,0.426859
116,0.371991,0.471184
117,0.354177,0.483939
117,0.370924,0.480582
117,0.334406,0.476225
117,0.335777,0.408676
117,0.371002,0.450687
118,0.382682,0.396135
118,0.373115,0.457395
118,0.380969,0.439243
118,0.365145,0.436059
118,0.34403,0.400469
119,0.33344,0.395319
119,0.326578,0.352225
119,0.3079,0.361864
119,0.299072,0.361593
119,0.299828,0.367416
120,0.308291,0.398133
120,0.336146,0.40334
120,0.343956,0.434098
120,0.336148,0.420566
120,0.312046,0.416244
121,0.302692,0.354327
121,0.285884,0.366743
121,0.293518,0.397169
121,0.291283,0.399781
121,0.305592,0.366872
122,0.283415,0.377295
122,0.284042,0.394638
122,0.274521,0.343063
122,0.253225,0.364063
122,0.235464,0.317254
123,0.213902,0.28019
123,0.189736,0.268543
123,0.145009,0.21063
123,0.150206,0.169769
123,0.177687,0.186791
124,0.184542,0.196666
124,0.189342,0.206311
124,0.176855,0.179991
124,0.205156,0.186135
124,0.223472,0.248267
125,0.227162,0.29459
125,0.247209,0.26273
125,0.26145,0.307181
125,0.277569,0.362652
125,0.2874,0.356437
126,0.275067,0.341916
126,0.277569,0.359512
126,0.267836,0.36899
126,0.311442,0.397865
126,0.347588,0.427043
127,0.355548,0.422073
127,0.332872,0.407333
127,0.319068,0.324061
127,0.316503,0.383385
127,0.300653,0.360022
128,0.292724,0.294296
128,0.315043,0.355902
128,0.297726,0.366071
128,0.297916,0.331726
128,0.279692,0.307191
129,0.265249,0.262609
129,0.231758,0.240286
129,0.208554,0.216857
129,0.168932,0.213922
129,0.120237,0.238016
130,0.0896866,0.175768
130,0.0582076,0.124013
130,0.0395189,0.0729018
130,0.0270255,0.0438463
130,0,0
131,0,0
131,0,0.0173021
131,0,0
131,0,0
131,0,0
132,0,0
132,0,0
132,0,0
132,0,0
132,0,0
133,0,0
133,0,0
133,0.0180898,0
133,0.0610741,0.0248151
133,0.0998912,0.0523611
134,0.139272,0.107923
134,0.174516,0.141817
134,0.217099,0.175797
134,0.24615,0.241274
134,0.270172,0.296907
135,0.302639,0.292086
135,0.303437,0.323673
135,0.306685,0.309985
135,0.294757,0.304386
135,0.293303,0.219042
136,0.290513,0.291344
136,0.24744,0.237973
136,0.218338,0.268359
136,0.179071,0.213441
136,0.145122,0.194447
137,0.111176,0.158858
137,0.0808156,0.122379
137,0.0556612,0.113672
137,0.0415638,0.081335
137,0.028287,0.038868
138,0,0
138,0,0
138,0,0
138,0,0
138,0,0
139,0,0
139,0,0
139,0,0
139,0,0
139,0,0
140,0.0134295,0.0159982
140,0.0306309,0.033896
140,0.05825,0.0526971
140,0.0833238,0.0381959
140,0.110964,0.0662284
141,0.141506,0.0566302
141,0.171674,0.12185
141,0.209137,0.118686
141,0.242983,0.161001
141,0.272968,0.177295
142,0.294528,0.192146
142,0.29968,0.189419
142,0.296119,0.204893
142,0.289994,0.232073
142,0.280376,0.2335
143,0.273973,0.203808
143,0.260655,0.222073
143,0.25012,0.206982
143,0.256579,0.189468
143,0.259089,0.169648
144,0.250332,0.206038
144,0.241024,0.188447
144,0.224688,0.176713
144,0.208093,0.224206
144,0.188539,0.197954
145,0.159135,0.20054
145,0.132243,0.177864
145,0.10866,0.126792
145,0.0827185,0.125849
145,0.0582808,0.0876395
146,0.0356431,0.0498083
146,0.0261328,0.0316475
146,0.0155996,0.0469513
146,0,0.0391182
146,0,0
147,0,0
147,0,0
147,0,0
147,0,0
147,0,0
148,0,0
148,0,0
148,0,0
148,0,0
148,0,0
149,0,0
149,0,0
149,0,0
149,0,0
149,0,0
150,0,0
150,0,0
150,0,0
150,0,0
150,0,0
151,0,0
151,0.0274643,0.0282287
151,0.0495825,0.0526632
151,0.06213,0.0990421
151,0.0708961,0.0934754
152,0.0792763,0.122093
152,0.0853984,0.113267
152,0.0924535,0.124132
152,0.0980488,0.126651
152,0.104255,0.130973
153,0.107379,0.147254
153,0.114768,0.165348
153,0.120955,0.181244
153,0.119538,0.171795
153,0.102522,0.152316
154,0.0862317,0.120638
154,0.073116,0.137164
154,0.0645598,0.128405
154,0.061231,0.121638
154,0.017583,0.12107
155,0.039574,0.102536
155,0.0439788,0.0962752
155,0.0388383,0.0925181
155,0.0239183,0.0793208
155,0.0254491,0.070136
156,0.0226694,0.0590578
156,0.0169279,0.0471294
156,0,0.0348459
156,0,0.015995
156,0.0107972,0.0188191
157,0.0123779,0.0304687
157,0.0140476,0.0353749
157,0.0134486,0.0376563
157,0.0146285,0.0394595
157,0.0162939,0.0388711
158,0.0214196,0.0452795
158,0.0209849,0.0515448
158,0.0166215,0.051108
158,0.012998,0.0389051
158,0,0.0197298
159,0.0386485,0.0442915
159,0.0646594,0.0522127
159,0.0743446,0.0840871
159,0.0845906,0.0897205
159,0.0924185,0.0838432
160,0.0991831,0.137326
160,0.105823,0.148762
160,0.112023,0.124316
160,0.0933599,0.122695
160,0.0681939,0.0936906
161,0.0433618,0.067843
161,0.019999,0.0774465
161,0,0
161,0,0
161,0,0
162,0,0
162,0.0198485,0
162,0.0380305,0.0513964
162,0.0464054,0.0763239
162,0.0529229,0.0657386
163,0.0582914,0.0900417
163,0.0627512,0.107507
163,0.0674677,0.0949246
163,0.0718502,0.0988894
163,0.0648407,0.0878272
164,0.0522678,0.0741135
164,0.0355318,0.0627438
164,0.0218076,0.0447548
164,0,0.0329801
164,0,0
165,0,0
165,0,0.0193237
165,0.0131963,0.0283315
165,0.0157565,0.032009
165,0.0179785,0.0336416
166,0.0200891,0.037793
166,0.0222125,0.0383824
166,0.0232027,0.0402758
166,0.0254247,0.0446806
166,0.0229748,0.0419285
167,0.0154734,0.0354767
167,0.0265007,0.0396546
167,0.0387302,0.0527385
167,0.052254,0.0867776
167,0.06989,0.105496
168,0.0783042,0.0962582
168,0.0864723,0.133291
168,0.0929793,0.149289
168,0.0996326,0.159815
168,0.104467,0.174645
169,0.109798,0.179119
169,0.11543,0.166027
169,0.11621,0.168435
169,0.0985968,0.174287
169,0.0835454,0.13868
170,0.0573659,0.110977
170,0.0330373,0.0782861
170,0,0.0627226
170,0,0
170,0,0
171,0,0
171,0,0
171,0,0
171,0,0
171,0,0
172,0,0
172,0,0
172,0,0.0152116
172,0,0
172,0,0
173,0,0
173,0,0
173,0,0
173,0,0
173,0,0
174,0,0.0333024
174,0,0
174,0,0
174,0,0
174,0,0
175,0.0155243,0.0151596
175,0.0327522,0.0317101
175,0.0312309,0.0670087
175,0.0480528,0.076326
175,0.0662835,0.0643022
176,0.0904584,0.0909502
176,0.124359,0.170692
176,0.155499,0.223271
176,0.174573,0.266368
176,0.201395,0.261086
177,0.218352,0.259968
177,0.217506,0.292247
177,0.212454,0.28945
177,0.190461,0.299463
177,0.19668,0.280035
178,0.202563,0.340478
178,0.198838,0.223103
178,0.185987,0.260574
178,0.17789,0.194638
178,0.141755,0.243145
179,0.135548,0.187779
179,0.11834,0.157063
179,0.0923422,0.171047
179,0.0811845,0.1232
179,0.065956,0.0998944
180,0.0678451,0.0836418
180,0.069342,0.0782321
180,0.0705855,0.0855956
180,0.0602557,0.0906683
180,0.0556008,0.0959678
181,0.0736524,0.0838104
181,0.0745174,0.0812396
181,0.0750496,0.0799283
181,0.0751302,0.0797661
181,0.0757058,0.0833598
182,0.0953062,0.0973957
182,0.107965,0.11944
182,0.0986954,0.134588
182,0.106555,0.139119
182,0.112315,0.141677
183,0.109621,0.13956
183,0.11076,0.146763
183,0.128654,0.165209
183,0.120662,0.152324
183,0.136635,0.127557
184,0.13475,0.170301
184,0.147771,0.104121
184,0.150108,0.142793
184,0.146964,0.130509
184,0.159333,0.132069
185,0.164735,0.145163
185,0.151838,0.116194
185,0.165261,0.127607
185,0.165395,0.108341
185,0.15923,0.145048
186,0.160159,0.123987
186,0.158444,0.127306
186,0.158775,0.126093
186,0.164757,0.116588
186,0.164773,0.11922
187,0.16791,0.092692
187,0.166259,0.0564128
187,0.144647,0.0720304
187,0.157523,0.0183198
187,0.165418,0.0215892
188,0.16775,0.0156102
188,0.177723,0.0194255
188,0.178059,0.0167477
188,0.177349,0.0180145
188,0.174097,0.055781
189,0.175248,0.0350325
189,0.174084,0.0154607
189,0.177053,0.0182403
189,0.178139,0.0166735
189,0.181311,0.0175311
190,0.180424,0.0192654
190,0.181434,0.0194743
190,0.182303,0.0182276
190,0.18295,0
190,0.177941,0.0475609
191,0.18082,0.0183951
191,0.187193,0.0234232
191,0.186668,0.0232536
191,0.189222,0.0336045
191,0.18777,0.0303362
192,0.185748,0.0282902
192,0.199688,0.0514155
192,0.182154,0.0540127
192,0.188414,0.062624
192,0.194446,0.0612692
193,0.190413,0.0595433
193,0.193685,0.0429939
193,0.192467,0.0427363
193,0.1905,0.0365166
193,0.188498,0.0364265
194,0.179881,0.0424734
194,0.182672,0.0348777
194,0.182368,0.0335218
194,0.170122,0.0357057
194,0.171654,0.0321373
195,0.171112,0.0185891
195,0.171464,0.0347516
195,0.175702,0.0187778
195,0.178781,0.034848
195,0.178619,0.049891
196,0.184131,0.0459739
196,0.183998,0.0441346
196,0.203142,0.0535696
196,0.230349,0.0520643
196,0.228446,0.0684027
197,0.240504,0.0561849
197,0.254703,0.0819912
197,0.272968,0.0906852
197,0.284234,0.101013
197,0.296578,0.0971614
198,0.310563,0.0912481
198,0.322294,0.129061
198,0.342408,0.135641
198,0.350844,0.13035
198,0.360538,0.14813
199,0.380096,0.162826
199,0.393197,0.171932
199,0.412119,0.190132
199,0.431702,0.187873
199,0.440541,0.209865
200,0.455128,0.219331
200,0.477977,0.227438
200,0.476145,0.25105
200,0.481279,0.259112
200,0.516146,0.276712
201,0.587009,0.303429
201,0.567528,0.306411
201,0.59205,0.290861
201,0.593064,0.26627
201,0.601382,0.170809
202,0.614712,0.180358
202,0.616024,0.218951
202,0.639197,0.19471
202,0.616754,0.141964
202,0.605738,0.191188
203,0.607133,0.143888
2
