frame,dynamic density
455,0
456,0.0298538
457,0.0181173
458,0.0167604
459,0.0177124
460,0.0178035
461,0.0181947
462,0.0164582
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0.0185626
473,0.044988
474,0.0808399
475,0.0556421
476,0.0752659
477,0.150502
478,0.140667
479,0.123982
480,0.160221
481,0.216348
482,0.312208
483,0.20617
484,0.27334
485,0.0746722
486,0.0453771
487,0.300369
488,0.0849203
489,0.26962
490,0.279343
491,0.288936
492,0.323034
493,0.416725
494,0.379683
495,0.402896
496,0.459768
497,0.389401
498,0.373484
499,0.395454
500,0.513109
501,0.625204
502,0.528803
503,0.545707
504,0.558585
505,0.596468
506,0.567403
507,0.581832
508,0.524509
509,0.5568
510,0.554353
511,0.561855
512,0.559144
513,0.539152
514,0.562183
515,0.545322
516,0.551014
517,0.561493
518,0.605488
519,0.582373
520,0.598284
521,0.575213
522,0.587496
523,0.582557
524,0.590512
525,0.584143
526,0.61825
527,0.605079
528,0.591717
529,0.604488
530,0.604953
531,0.618414
532,0.610622
533,0.620352
534,0.611771
535,0.617901
536,0.632086
537,0.596648
538,0.568295
539,0.544347
540,0.5113
541,0.490097
542,0.410792
543,0.492646
544,0.59638
545,0.522881
546,0.529365
547,0.543708
548,0.572661
549,0.559663
550,0.567275
551,0.576373
552,0.566756
553,0.578496
554,0.542497
555,0.494672
556,0.525317
557,0.514191
558,0.486981
559,0.517197
560,0.472485
561,0.52481
562,0.492811
563,0.465553
564,0.485398
565,0.500146
566,0.505786
567,0.472232
568,0.569652
569,0.572527
570,0.540974
571,0.379478
572,0.549715
573,0.534646
574,0.493284
575,0.468472
576,0.509132
577,0.518701
578,0.500777
579,0.517368
580,0.557035
581,0.515213
582,0.477105
583,0.426859
584,0.471184
585,0.483939
586,0.480582
587,0.476225
588,0.408676
589,0.450687
590,0.396135
591,0.457395
592,0.439243
593,0.436059
594,0.400469
595,0.395319
596,0.352225
597,0.361864
598,0.361593
599,0.367416
600,0.398133
