frame,dynamic density
1,0.0952363
2,0.0990961
3,0.116389
4,0.102366
5,0.111806
6,0.103842
7,0.111515
8,0.0822658
9,0.0837288
10,0.0845662
11,0.095742
12,0.0899177
13,0.0821916
14,0.100235
15,0.131427
16,0.0938274
17,0.0865836
18,0.0817071
19,0.0817633
20,0.0810509
21,0.0822647
22,0.0809767
23,0.140527
24,0.0841019
25,0.0650856
26,0.120499
27,0.081547
28,0.0979989
29,0.0822308
30,0.102208
31,0.093151
32,0.169658
33,0.0841963
34,0.102705
35,0.118463
36,0.105903
37,0.116184
38,0.0954112
39,0.0971286
40,0.142603
41,0.123242
42,0.0961045
43,0.108899
44,0.117047
45,0.111004
46,0.121223
47,0.134222
48,0.156838
49,0.140981
50,0.138892
51,0.0822181
52,0.105535
53,0.0978092
54,0.103044
55,0.106393
56,0.0931775
57,0.15848
58,0.110869
59,0.111054
60,0.0971752
61,0.107281
62,0.10361
63,0.0979597
64,0.0945493
65,0.146084
66,0.0766504
67,0.0623505
68,0.0707731
69,0.0688077
70,0.0598847
71,0.0366396
72,0.0425455
73,0.144081
74,0.0940331
75,0.0645142
76,0.0673532
77,0.0801806
78,0.0486984
79,0.0507953
80,0.0659899
81,0.0395899
82,0.0906948
83,0.0686635
84,0.0660238
85,0.0297955
86,0.0364424
87,0.0414981
88,0.0413349
89,0.0271357
90,0.132659
91,0.0592889
92,0.0406044
93,0.0465336
94,0.0396291
95,0.045464
96,0.040156
97,0.0534011
98,0.103891
99,0.0585755
100,0.0705622
101,0.0460481
102,0.062447
103,0.0366863
104,0.0380443
105,0.0484196
106,0.0467234
107,0.0922362
108,0.0605324
109,0.0590769
110,0.0575747
111,0.0467541
112,0.0429494
113,0.0398793
114,0.0466831
115,0.108797
116,0.0737743
117,0.0798233
118,0.087825
119,0.0619403
120,0.0324437
121,0.0578355
122,0.0414769
123,0.112844
124,0.102568
125,0.072587
126,0.0596271
127,0.0453951
128,0.059044
129,0.0569418
130,0.0647178
131,0.0703756
132,0.0942239
133,0.0994894
134,0.0716912
135,0.0728594
136,0.0904403
137,0.0996368
138,0.104979
139,0.118701
140,0.21223
141,0.170072
142,0.172387
143,0.201278
144,0.214668
145,0.217315
146,0.228359
147,0.240935
148,0.30448
149,0.259379
150,0.246021
151,0.236049
152,0.239154
153,0.223141
154,0.232342
155,0.248747
156,0.265925
157,0.334554
158,0.302958
159,0.272722
160,0.2997
161,0.254372
162,0.274125
163,0.263417
164,0.265056
165,0.324069
166,0.225897
167,0.188442
168,0.0812576
169,0.0630534
170,0.0595868
171,0.100061
172,0.110766
173,0.203001
174,0.122626
175,0.112493
176,0.163612
177,0.114777
178,0.132457
179,0.114048
180,0.130859
181,0.144022
182,0.196717
183,0.147319
184,0.145299
185,0.138534
186,0.133159
187,0.228454
188,0.316194
189,0.323862
190,0.34566
191,0.332864
192,0.294131
193,0.106711
194,0.137709
195,0.179569
196,0.171208
197,0.116682
198,0.124928
199,0.0855935
200,0.0675493
201,0.085373
202,0.112605
203,0.0843956
204,0.0886191
205,0.0944645
206,0.100325
207,0.154418
208,0.126636
209,0.115056
210,0.153872
211,0.128037
212,0.119852
213,0.112698
214,0.120629
215,0.162666
216,0.0944974
217,0.0786699
218,0.0982311
219,0.0985184
220,0.0878621
221,0.0853634
222,0.0775366
223,0.165226
224,0.130366
225,0.111585
226,0.11658
227,0.12524
228,0.116206
229,0.117926
230,0.125419
231,0.114245
232,0.196427
233,0.169325
234,0.126799
235,0.135472
236,0.146936
237,0.152174
238,0.169184
239,0.150077
240,0.25544
241,0.143948
242,0.163509
243,0.161835
244,0.150822
245,0.147919
246,0.0739301
247,0.03744
248,0.20958
249,0.053048
250,0.101171
251,0.0812375
252,0.100877
253,0.0865476
254,0.0830121
255,0.086431
256,0.0732347
257,0.160552
258,0.0743192
259,0.124143
260,0.0505748
261,0.0684706
262,0.0648333
263,0.0573012
264,0.071565
265,0.156088
266,0.116422
267,0.0583359
268,0.107225
269,0.107776
270,0.0915312
271,0.107961
272,0.116796
273,0.242595
274,0.0960197
