time(in secs),dynamic density
73.2,0.0186643
73.4,0.019981
73.6,0.0180134
73.8,0.0185986
74,0.0204209
74.2,0.0213199
74.4,0.0213475
74.6,0.0222783
74.8,0.0208143
75,0.0203658
75.2,0.0215245
75.4,0.024654
75.6,0.0265039
75.8,0.028041
76,0.022838
76.2,0.0196714
76.4,0
76.6,0.0172152
76.8,0.021392
77,0.0248437
77.2,0.0222878
77.4,0.0251268
77.6,0.0224235
77.8,0.0216125
78,0.0209192
78.2,0.0227627
78.4,0.0220578
78.6,0.0242713
78.8,0.0264859
79,0.0250717
79.2,0.0274368
79.4,0.0233924
79.6,0.0195538
79.8,0.0193418
80,0.0160787
80.2,0
80.4,0
80.6,0
80.8,0.0571072
81,0
81.2,0
81.4,0
81.6,0
81.8,0
82,0
82.2,0
82.4,0.0182361
82.6,0
82.8,0.0191276
83,0
83.2,0.0174887
83.4,0.0164423
83.6,0.0179286
83.8,0
84,0.0168091
84.2,0
84.4,0
84.6,0
84.8,0
85,0
85.2,0.0168399
85.4,0.0238589
85.6,0.0182424
85.8,0.021127
86,0.0182594
86.2,0
86.4,0.0217556
86.6,0.0223005
86.8,0.0166257
87,0
87.2,0
87.4,0.0154946
87.6,0
87.8,0
88,0
88.2,0
88.4,0
88.6,0
88.8,0
89,0.0279912
89.2,0.0352784
89.4,0.0361138
89.6,0.0370382
89.8,0.0340837
90,0.0300881
90.2,0.034424
90.4,0.0334646
90.6,0.0346689
90.8,0.0378492
91,0
91.2,0.0298538
91.4,0.0181173
91.6,0.0167604
91.8,0.0177124
92,0.0178035
92.2,0.0181947
92.4,0.0164582
92.6,0
92.8,0
93,0
93.2,0
93.4,0
93.6,0
93.8,0
94,0
94.2,0
94.4,0.0185626
94.6,0.044988
94.8,0.0808399
95,0.0556421
95.2,0.0752659
95.4,0.150502
95.6,0.140667
95.8,0.123982
96,0.160221
96.2,0.216348
96.4,0.312208
96.6,0.20617
96.8,0.27334
97,0.0746722
97.2,0.0453771
97.4,0.300369
97.6,0.0849203
97.8,0.26962
98,0.279343
98.2,0.288936
98.4,0.323034
98.6,0.416725
98.8,0.379683
99,0.402896
99.2,0.459768
99.4,0.389401
99.6,0.373484
99.8,0.395454
100,0.513109
100.2,0.625204
100.4,0.528803
100.6,0.545707
100.8,0.558585
101,0.596468
101.2,0.567403
101.4,0.581832
101.6,0.524509
101.8,0.5568
102,0.554353
102.2,0.561855
102.4,0.559144
102.6,0.539152
102.8,0.562183
103,0.545322
103.2,0.551014
103.4,0.561493
103.6,0.605488
103.8,0.582373
104,0.598284
104.2,0.575213
104.4,0.587496
104.6,0.582557
104.8,0.590512
105,0.584143
105.2,0.61825
105.4,0.605079
105.6,0.591717
105.8,0.604488
106,0.604953
106.2,0.618414
106.4,0.610622
106.6,0.620352
106.8,0.611771
107,0.617901
107.2,0.632086
107.4,0.596648
107.6,0.568295
107.8,0.544347
108,0.5113
108.2,0.490097
108.4,0.410792
108.6,0.492646
108.8,0.59638
109,0.522881
109.2,0.529365
109.4,0.543708
109.6,0.572661
109.8,0.559663
110,0.567275
110.2,0.576373
110.4,0.566756
110.6,0.578496
110.8,0.542497
111,0.494672
111.2,0.525317
111.4,0.514191
111.6,0.486981
111.8,0.517197
112,0.472485
112.2,0.52481
112.4,0.492811
112.6,0.465553
112.8,0.485398
113,0.500146
113.2,0.505786
113.4,0.472232
113.6,0.569652
113.8,0.572527
114,0.540974
114.2,0.379478
114.4,0.549715
114.6,0.534646
114.8,0.493284
115,0.468472
115.2,0.509132
115.4,0.518701
115.6,0.500777
115.8,0.517368
116,0.557035
116.2,0.515213
116.4,0.477105
116.6,0.426859
116.8,0.471184
117,0.483939
117.2,0.480582
117.4,0.476225
117.6,0.408676
117.8,0.450687
118,0.396135
118.2,0.457395
118.4,0.439243
118.6,0.436059
118.8,0.400469
119,0.395319
119.2,0.352225
119.4,0.361864
119.6,0.361593
119.8,0.367416
120,0.398133
120.2,0.40334
120.4,0.434098
120.6,0.420566
120.8,0.416244
121,0.354327
121.2,0.366743
121.4,0.397169
121.6,0.399781
121.8,0.366872
122,0.377295
122.2,0.394638
122.4,0.343063
122.6,0.364063
122.8,0.317254
123,0.28019
123.2,0.268543
123.4,0.21063
123.6,0.169769
123.8,0.186791
124,0.196666
124.2,0.206311
124.4,0.179991
124.6,0.186135
124.8,0.248267
125,0.29459
125.2,0.26273
125.4,0.307181
125.6,0.362652
125.8,0.356437
126,0.341916
126.2,0.359512
126.4,0.36899
126.6,0.397865
126.8,0.427043
127,0.422073
127.2,0.407333
127.4,0.324061
127.6,0.383385
127.8,0.360022
128,0.294296
128.2,0.355902
128.4,0.366071
128.6,0.331726
128.8,0.307191
129,0.262609
129.2,0.240286
129.4,0.216857
129.6,0.213922
129.8,0.238016
130,0.175768
130.2,0.124013
130.4,0.0729018
130.6,0.0438463
130.8,0
131,0
131.2,0.0173021
131.4,0
131.6,0
131.8,0
132,0
132.2,0
132.4,0
132.6,0
132.8,0
133,0
133.2,0
133.4,0
133.6,0.0248151
133.8,0.0523611
134,0.107923
134.2,0.141817
134.4,0.175797
134.6,0.241274
134.8,0.296907
135,0.292086
135.2,0.323673
135.4,0.309985
135.6,0.304386
135.8,0.219042
136,0.291344
136.2,0.237973
136.4,0.268359
136.6,0.213441
136.8,0.194447
137,0.158858
137.2,0.122379
137.4,0.113672
137.6,0.081335
137.8,0.038868
138,0
138.2,0
138.4,0
138.6,0
138.8,0
139,0
139.2,0
139.4,0
139.6,0
139.8,0
140,0.0159982
140.2,0.033896
140.4,0.0526971
140.6,0.0381959
140.8,0.0662284
141,0.0566302
141.2,0.12185
141.4,0.118686
141.6,0.161001
141.8,0.177295
142,0.192146
142.2,0.189419
142.4,0.204893
142.6,0.232073
142.8,0.2335
143,0.203808
143.2,0.222073
143.4,0.206982
143.6,0.189468
143.8,0.169648
144,0.206038
144.2,0.188447
144.4,0.176713
144.6,0.224206
144.8,0.197954
145,0.20054
145.2,0.177864
145.4,0.126792
145.6,0.125849
145.8,0.0876395
146,0.0498083
146.2,0.0316475
146.4,0.0469513
146.6,0.0391182
146.8,0
147,0
147.2,0
147.4,0
147.6,0
147.8,0
148,0
148.2,0
148.4,0
148.6,0
148.8,0
149,0
149.2,0
149.4,0
149.6,0
149.8,0
150,0
150.2,0
150.4,0
150.6,0
150.8,0
151,0
151.2,0.0282287
151.4,0.0526632
151.6,0.0990421
151.8,0.0934754
152,0.122093
152.2,0.113267
152.4,0.124132
152.6,0.126651
152.8,0.130973
153,0.147254
153.2,0.165348
153.4,0.181244
153.6,0.171795
153.8,0.152316
154,0.120638
154.2,0.137164
154.4,0.128405
154.6,0.121638
154.8,0.12107
155,0.102536
155.2,0.0962752
155.4,0.0925181
155.6,0.0793208
155.8,0.070136
156,0.0590578
156.2,0.0471294
156.4,0.0348459
156.6,0.015995
156.8,0.0188191
157,0.0304687
157.2,0.0353749
157.4,0.0376563
157.6,0.0394595
157.8,0.0388711
158,0.0452795
158.2,0.0515448
158.4,0.051108
158.6,0.0389051
158.8,0.0197298
159,0.0442915
159.2,0.0522127
159.4,0.0840871
159.6,0.0897205
159.8,0.0838432
160,0.137326
160.2,0.148762
160.4,0.124316
160.6,0.122695
160.8,0.0936906
161,0.067843
161.2,0.0774465
161.4,0
161.6,0
161.8,0
162,0
162.2,0
162.4,0.0513964
162.6,0.0763239
162.8,0.0657386
163,0.0900417
163.2,0.107507
163.4,0.0949246
163.6,0.0988894
163.8,0.0878272
164,0.0741135
164.2,0.0627438
164.4,0.0447548
164.6,0.0329801
164.8,0
165,0
165.2,0.0193237
165.4,0.0283315
165.6,0.032009
165.8,0.0336416
166,0.037793
166.2,0.0383824
166.4,0.0402758
166.6,0.0446806
166.8,0.0419285
167,0.0354767
167.2,0.0396546
167.4,0.0527385
167.6,0.0867776
167.8,0.105496
168,0.0962582
168.2,0.133291
168.4,0.149289
168.6,0.159815
168.8,0.174645
169,0.179119
169.2,0.166027
169.4,0.168435
169.6,0.174287
169.8,0.13868
170,0.110977
170.2,0.0782861
170.4,0.0627226
170.6,0
170.8,0
171,0
171.2,0
171.4,0
171.6,0
171.8,0
172,0
172.2,0
172.4,0.0152116
172.6,0
172.8,0
173,0
173.2,0
173.4,0
173.6,0
173.8,0
174,0.0333024
174.2,0
174.4,0
174.6,0
174.8,0
175,0.0151596
175.2,0.0317101
175.4,0.0670087
175.6,0.076326
175.8,0.0643022
176,0.0909502
176.2,0.170692
176.4,0.223271
176.6,0.266368
176.8,0.261086
177,0.259968
177.2,0.292247
177.4,0.28945
177.6,0.299463
177.8,0.280035
178,0.340478
178.2,0.223103
178.4,0.260574
178.6,0.194638
178.8,0.243145
179,0.187779
179.2,0.157063
179.4,0.171047
179.6,0.1232
179.8,0.0998944
180,0.0836418
180.2,0.0782321
180.4,0.0855956
180.6,0.0906683
180.8,0.0959678
181,0.0838104
181.2,0.0812396
181.4,0.0799283
181.6,0.0797661
181.8,0.0833598
182,0.0973957
182.2,0.11944
182.4,0.134588
182.6,0.139119
182.8,0.141677
183,0.13956
183.2,0.146763
183.4,0.165209
183.6,0.152324
183.8,0.127557
184,0.170301
184.2,0.104121
184.4,0.142793
184.6,0.130509
184.8,0.132069
185,0.145163
185.2,0.116194
185.4,0.127607
185.6,0.108341
185.8,0.145048
186,0.123987
186.2,0.127306
186.4,0.126093
186.6,0.116588
186.8,0.11922
187,0.092692
187.2,0.0564128
187.4,0.0720304
187.6,0.0183198
187.8,0.0215892
