time(in secs),dynamic density
337,0.0877741
337.2,0.108222
337.4,0.135471
337.6,0.162034
337.8,0.194809
338,0.194903
338.2,0.182396
338.4,0.186933
338.6,0.210989
338.8,0.217772
339,0.230329
339.2,0.240478
339.4,0.203098
339.6,0.162309
339.8,0.104683
340,0.0859645
340.2,0.0998244
340.4,0.118685
340.6,0.103429
340.8,0.0687504
341,0.0363311
341.2,0
341.4,0.0170392
341.6,0.0325168
341.8,0.0401655
342,0.0430226
342.2,0
342.4,0
342.6,0
342.8,0
343,0
343.2,0
343.4,0
343.6,0
343.8,0
344,0.048463
344.2,0
344.4,0
344.6,0.0341558
344.8,0
345,0
345.2,0
345.4,0
345.6,0
345.8,0
346,0
346.2,0
346.4,0
346.6,0
346.8,0
347,0
347.2,0
347.4,0
347.6,0
347.8,0
348,0.0429918
348.2,0
348.4,0
348.6,0
348.8,0
349,0.0155815
349.2,0
349.4,0
349.6,0.0226641
349.8,0
350,0
350.2,0
350.4,0
350.6,0.027581
350.8,0.0428328
351,0.0601359
351.2,0.0524798
351.4,0.0630385
351.6,0.0878558
351.8,0.0975897
352,0.0977572
352.2,0.0991566
352.4,0.108172
352.6,0.104479
352.8,0.124271
353,0.178188
353.2,0.183551
353.4,0.159243
353.6,0.176073
353.8,0.17397
354,0.185466
354.2,0.12421
354.4,0.15779
354.6,0.11399
354.8,0.0925266
355,0.0902071
355.2,0.0920835
355.4,0.108651
355.6,0.110737
355.8,0.118326
356,0.110545
356.2,0.112978
356.4,0.112009
356.6,0.108762
356.8,0.132722
357,0.145363
357.2,0.184668
357.4,0.180916
357.6,0.188568
357.8,0.175457
358,0.195768
358.2,0.193356
358.4,0.203259
358.6,0.202449
358.8,0.203671
359,0.205734
359.2,0.214448
359.4,0.199826
359.6,0.195077
359.8,0.224873
360,0.211557
360.2,0.159148
360.4,0.178365
360.6,0.0952766
360.8,0.0955935
361,0.0729379
361.2,0.0987018
361.4,0.130009
361.6,0.157701
361.8,0.161518
362,0.170274
362.2,0.182574
362.4,0.19788
362.6,0.217783
362.8,0.228286
363,0.242571
363.2,0.246372
363.4,0.255778
363.6,0.21962
363.8,0.234828
364,0.154824
364.2,0.16896
364.4,0.142802
364.6,0.169484
364.8,0.129082
365,0.122177
365.2,0.0616434
365.4,0.0933705
365.6,0.0815121
365.8,0.0916457
366,0.0943808
366.2,0.100572
366.4,0.107869
366.6,0.130507
366.8,0.118472
367,0.115202
367.2,0.119387
367.4,0.122375
367.6,0.112161
367.8,0.120225
368,0.140177
368.2,0.133394
368.4,0.141633
368.6,0.125415
368.8,0.120305
369,0.121018
369.2,0.116841
369.4,0.0815841
369.6,0.0922107
369.8,0.0646913
370,0.0877922
370.2,0.0762634
370.4,0.0786604
370.6,0.103579
370.8,0.108949
371,0.11335
371.2,0.132226
371.4,0.162753
371.6,0.175601
371.8,0.185084
372,0.171951
372.2,0.187188
372.4,0.192022
372.6,0.190218
372.8,0.184548
373,0.165348
373.2,0.1378
373.4,0.138733
373.6,0.089535
373.8,0.0398698
374,0.0382605
374.2,0.0370382
374.4,0.0528191
374.6,0.0640509
374.8,0.0747613
375,0.0763589
375.2,0.0753729
375.4,0.0455255
375.6,0.0467001
375.8,0.056239
376,0.0550326
376.2,0.0482584
376.4,0.0507646
376.6,0.0535707
376.8,0.0365378
377,0.0555276
377.2,0.0734902
377.4,0.0551937
377.6,0.0559718
377.8,0.0577963
378,0.0462124
378.2,0.0498327
378.4,0.0429473
378.6,0.0789021
378.8,0.0461796
379,0.0290874
379.2,0.0281937
379.4,0.0434699
379.6,0.0545258
379.8,0.0681006
380,0.0859391
380.2,0.0512946
380.4,0.0290386
380.6,0.0272407
380.8,0.0439608
381,0.017935
381.2,0
381.4,0
381.6,0.0686455
381.8,0
382,0.0196015
382.2,0.0163586
382.4,0
