frame,dynamic density
1,0.104225
2,0.107865
3,0.108949
4,0.100291
5,0.0889063
6,0.0597882
7,0.0896081
8,0.0638887
9,0.0953073
10,0.0822287
11,0.0871317
12,0.0928372
13,0.0963335
14,0.10931
15,0.126844
16,0.0837319
17,0.0811357
18,0.0831754
19,0.0762507
20,0.0799187
21,0.0784377
22,0.0705526
23,0.13248
24,0.0772387
25,0.0426642
26,0.109011
27,0.0753422
28,0.111233
29,0.0727863
30,0.0941486
31,0.0889859
32,0.164533
33,0.0862105
34,0.0882862
35,0.100544
36,0.0980583
37,0.108068
38,0.103581
39,0.0917686
40,0.129379
41,0.119571
42,0.106142
43,0.118444
44,0.124853
45,0.119726
46,0.12429
47,0.130837
48,0.136481
49,0.123058
50,0.132476
51,0.116915
52,0.102626
53,0.0842312
54,0.100145
55,0.1107
56,0.0965667
57,0.143474
58,0.105026
59,0.100182
60,0.0964809
61,0.0998361
62,0.0949416
63,0.0905983
64,0.0811421
65,0.0921662
66,0.0625329
67,0.0564817
68,0.0496408
69,0.0447431
70,0.0558404
71,0.0250558
72,0.031585
73,0.0997248
74,0.0654577
75,0.0359389
76,0.0508716
77,0.0787929
78,0.0382764
79,0.0362537
80,0.0431455
81,0.0330352
82,0.0664468
83,0.0754207
84,0.0305768
85,0.0283729
86,0.0346349
87,0.0295591
88,0.0378259
89,0.0220821
90,0.113797
91,0.0418596
92,0.0315967
93,0.0338377
94,0.0378799
95,0.0296567
96,0.0231391
97,0.0241642
98,0.0771423
99,0.055463
100,0.0398783
101,0.0356367
102,0.0404327
103,0.0213613
104,0.0319105
105,0.0340254
106,0.0344367
107,0.060648
108,0.048109
109,0.0520674
110,0.0361467
111,0.030386
112,0.032325
113,0.0332727
114,0.0314917
115,0.0551333
116,0.0627534
117,0.0664733
118,0.0692603
119,0.0461213
120,0.0289135
121,0.046417
122,0.0321363
123,0.10581
124,0.0758648
125,0.0490705
126,0.0358021
127,0.0294022
128,0.0516402
129,0.0464531
130,0.054811
131,0.0608939
132,0.0638887
133,0.0852235
134,0.0641453
135,0.0682469
136,0.0660641
137,0.09218
138,0.0999305
139,0.11715
140,0.169699
141,0.154085
142,0.166533
143,0.183411
144,0.187061
145,0.199996
146,0.202768
147,0.229995
148,0.232756
149,0.221493
150,0.247083
151,0.24488
152,0.247614
153,0.248819
154,0.248548
155,0.255126
156,0.251372
157,0.293605
158,0.291747
159,0.25727
160,0.277213
161,0.252968
162,0.258958
163,0.247427
164,0.260912
165,0.260538
166,0.164687
167,0.0385627
168,0.0476181
169,0.0614091
170,0.0617251
171,0.118376
172,0.106589
173,0.159494
174,0.12778
175,0.0873225
176,0.126046
177,0.109835
178,0.119153
179,0.123652
180,0.132828
181,0.171138
182,0.17893
183,0.136109
184,0.141749
185,0.13391
186,0.123826
187,0.255111
188,0.326884
189,0.312749
190,0.311491
191,0.298954
192,0.248895
193,0.0627364
194,0.126453
195,0.146971
196,0.0725976
197,0.111192
198,0.123825
199,0.0594501
200,0.0757366
201,0.0989446
202,0.0993241
203,0.0826814
204,0.0918937
205,0.0998944
206,0.101932
207,0.146308
208,0.11437
209,0.119458
210,0.141313
211,0.12919
212,0.127809
213,0.131011
214,0.0982926
215,0.128318
216,0.0807329
217,0.0986922
218,0.0898583
219,0.0866133
220,0.08435
221,0.10539
222,0.100397
223,0.149276
224,0.134524
225,0.114664
226,0.119557
227,0.128332
228,0.120625
229,0.109698
230,0.124548
231,0.123095
232,0.197573
233,0.154444
234,0.120173
235,0.120163
236,0.14121
237,0.144493
238,0.139213
239,0.146095
240,0.21771
241,0.102992
242,0.150841
243,0.150383
244,0.110411
245,0.085867
246,0.0692964
247,0.030156
248,0.129255
249,0.0273498
250,0.0626696
251,0.0400235
252,0.0541972
253,0.0665252
254,0.0701837
255,0.0372248
256,0.0713996
257,0.118552
258,0.0645132
259,0.080206
260,0.0304475
261,0.0647135
262,0.0571984
263,0.0475111
264,0.0701052
265,0.106289
266,0.0632431
267,0.0380591
268,0.0968042
269,0.0906884
270,0.0823686
271,0.0883667
272,0.114679
273,0.175204
274,0.0732888
275,0.0646255
276,0.0529526
277,0.0486263
278,0.0425095
279,0.0503331
280,0.0573712
281,0.066821
282,0.089095
283,0.0542947
284,0.0614929
285,0.0723315
286,0.0402822
287,0.0509002
288,0.0615957
289,0.060154
290,0.150946
291,0.0548905
292,0.0555001
293,0.0598995
294,0.0664956
295,0.0398146
296,0.0516455
297,0.0549403
298,0.0487461
299,0.052377
300,0.0313369
301,0.0411313
302,0.152619
303,0.0576903
304,0.0676776
305,0.054529
306,0.0281799
307,0.0268707
308,0.0140264
309,0.00949437
310,0.125109
311,0.0419974
312,0.0545036
313,0.0321967
314,0.0591034
315,0.0413476
316,0.0663641
317,0.0516752
318,0.112517
319,0.08555
320,0.0517388
321,0.0535336
322,0.0447007
323,0.0552043
324,0.0354427
325,0.0536926
326,0.110912
327,0.125677
328,0.0627279
329,0.0581239
330,0.0912386
331,0.0811675
332,0.0385828
333,0.030474
334,0.0565665
335,0.153662
336,0.0839599
337,0.0873469
338,0.0703003
339,0.0608218
340,0.0587748
341,0.049449
342,0.0684303
343,0.05691
344,0.0396662
345,0.124329
346,0.100655
347,0.0750496
348,0.0851811
349,0.0540159
350,0.0649552
351,0.0645948
352,0.0567786
353,0.0532887
354,0.0749945
355,0.114309
356,0.0695561
357,0.0672928
358,0.0658012
359,0.0429091
360,0.0432833
361,0.0537254
362,0.126306
363,0.0756253
364,0.0521162
365,0.0542756
366,0.0379425
367,0.0369237
368,0.0423738
369,0.053946
370,0.110612
371,0.0475948
372,0.0738125
373,0.0814357
374,0.0530576
375,0.0494967
376,0.0535071
377,0.0499631
378,0.0430989
379,0.0734086
380,0.107082
381,0.0608568
382,0.0552647
383,0.0493027
384,0.0427777
385,0.0806565
386,0.0314726
387,0.0793675
388,0.0408642
389,0.0493005
390,0.0333109
391,0.0439226
392,0.0288955
393,0.0364912
394,0.0662581
395,0.101469
396,0.0830429
397,0.0798169
398,0.0381906
399,0.0897216
400,0.0193237
401,0.0143285
402,0.00964702
403,0.0348819
404,0.14738
405,0.0749542
406,0.0636099
407,0.0600851
408,0.0487705
409,0.0334943
410,0.0300902
411,0.0308832
412,0.0550697
413,0.0470054
414,0.0524067
415,0.0345024
416,0.0303754
417,0.0273318
418,0.0361159
419,0.0424236
420,0.0862773
