frame,dynamic density
1,0.0679755
2,0.0887813
3,0.0972569
4,0.10005
5,0.103606
6,0.0605674
7,0.0796675
8,0.055958
9,0.0647135
10,0.0701233
11,0.071724
12,0.0370382
13,0.0792795
14,0.0755563
15,0.0919128
16,0.071142
17,0.0659379
18,0.0714654
19,0.07204
20,0.070754
21,0.0650188
22,0.0628392
23,0.0700893
24,0.033155
25,0.0363332
26,0.0763949
27,0.0500288
28,0.067667
29,0.0659199
30,0.0895149
31,0.0860525
32,0.123394
33,0.0775101
34,0.0783487
35,0.100825
36,0.0861448
37,0.100609
38,0.104346
39,0.0941507
40,0.0920665
41,0.0825064
42,0.0918513
43,0.115306
44,0.121956
45,0.119212
46,0.128174
47,0.131284
48,0.137775
49,0.0871466
50,0.103804
51,0.0883561
52,0.0961734
53,0.0964098
54,0.0942207
55,0.0989923
56,0.0988067
57,0.104367
58,0.0935973
59,0.0974731
60,0.0891883
61,0.0946373
62,0.0933026
63,0.0898414
64,0.0828944
65,0.0683391
66,0.0448459
67,0.0176837
68,0.0252275
69,0.035764
70,0.0269629
71,0.018005
72,0.0267519
73,0.0774815
74,0.0623208
75,0.0332271
76,0.0350304
77,0.0402482
78,0.0241091
79,0.0280177
80,0.0459156
81,0.0224468
82,0.0493355
83,0.0409341
84,0.0161487
85,0.00975728
86,0.0131486
87,0.0287004
88,0.031356
89,0.0174463
90,0.0865508
91,0.0259304
92,0.0184301
93,0.0306277
94,0.0264381
95,0.0177887
96,0.0205683
97,0.0240868
98,0.0523738
99,0.0253643
100,0.0110835
101,0.0174367
102,0.027688
103,0.0227543
104,0.0311323
105,0.0317504
106,0.0320504
107,0.0561934
108,0.0440085
109,0.0439258
110,0.0370393
111,0.0304199
112,0.0308715
113,0.028816
114,0.0310284
115,0.0556973
116,0.034672
117,0.0494808
118,0.0572323
119,0.0350749
120,0.0286824
121,0.0374241
122,0.0256759
123,0.0701614
124,0.0575747
125,0.0373361
126,0.0286676
127,0.0199683
128,0.0298401
129,0.0340773
130,0.0457354
131,0.0540276
132,0.0605144
133,0.0778017
134,0.0607339
135,0.0602663
136,0.0714261
137,0.0873925
138,0.107647
139,0.118852
140,0.145556
141,0.150376
142,0.157261
143,0.193393
144,0.192263
145,0.19393
146,0.198113
147,0.228565
148,0.231353
149,0.264547
150,0.264511
151,0.248711
152,0.249556
153,0.25909
154,0.252516
155,0.251786
156,0.250036
157,0.281131
158,0.291603
159,0.242693
160,0.272031
161,0.247599
162,0.24489
163,0.245181
164,0.256383
165,0.252503
166,0.153941
167,0.0281842
168,0.0456421
169,0.0604444
170,0.0681387
171,0.109114
172,0.100479
173,0.146029
174,0.107036
175,0.0749924
176,0.134498
177,0.100534
178,0.0993866
179,0.0993707
180,0.104188
181,0.0978654
182,0.0956667
183,0.1202
184,0.105852
185,0.113382
186,0.104382
187,0.205388
188,0.315376
189,0.290992
190,0.314047
191,0.310669
192,0.240412
193,0.0454407
194,0.0829538
195,0.142102
196,0.0947433
197,0.109239
198,0.121328
199,0.0651937
200,0.0688257
201,0.0738485
202,0.0687918
203,0.0773554
204,0.084033
205,0.0912587
206,0.0974106
207,0.144356
208,0.107275
209,0.108532
210,0.106168
211,0.0982661
212,0.106672
213,0.126485
214,0.116158
215,0.0975632
216,0.0671157
217,0.0740881
218,0.0816562
219,0.0820665
220,0.0889562
221,0.0879607
222,0.081423
223,0.138536
224,0.105757
225,0.110774
226,0.1119
227,0.115472
228,0.114469
229,0.106475
230,0.109201
231,0.109125
232,0.172978
233,0.14624
234,0.101907
235,0.106805
236,0.122828
237,0.13332
238,0.13636
239,0.142974
240,0.12613
241,0.094403
242,0.141345
243,0.13629
244,0.0813901
245,0.0850306
246,0.0647867
247,0.0225995
248,0.147616
249,0.00984209
250,0.0551831
251,0.0435441
252,0.0435229
253,0.0657408
254,0.0609003
255,0.0237942
256,0.0584005
257,0.062359
258,0.0521692
259,0.0610423
260,0.0317058
261,0.0455265
262,0.0143772
263,0.0442979
264,0.068319
265,0.102989
266,0.0673808
267,0.0475704
268,0.0884198
269,0.0765666
270,0.0655892
271,0.0828404
272,0.102693
273,0.15875
274,0.0251756
275,0.0525445
276,0.0574655
277,0.0448544
278,0.0441378
279,0.0441738
280,0.0565316
281,0.0346116
282,0.0555997
283,0.0521883
284,0.0227935
285,0.0368251
286,0.0374919
287,0.0369364
288,0.0565878
289,0.0674677
290,0.107525
291,0.0544113
292,0.0538442
293,0.0465146
294,0.045076
295,0.0361997
296,0.0341081
297,0.0506702
298,0.0405695
299,0.0329207
300,0.0315437
301,0.0389083
302,0.184154
303,0.0397521
304,0.0275205
305,0.0296598
306,0.0228083
307,0.0149455
308,0.0122454
309,0.00949013
310,0.0781759
311,0.0243911
312,0.0362951
313,0.0172014
314,0.0498083
315,0.0538209
316,0.0463873
317,0.0460598
318,0.140243
319,0.0651301
320,0.034054
321,0.0760716
322,0.0247112
323,0.0204952
324,0.0348183
325,0.0509808
326,0.0682098
327,0.113156
328,0.0625074
329,0.0446795
330,0.0396047
331,0.0311864
332,0.0159229
333,0.0165197
334,0.0556739
335,0.135393
336,0.0723177
337,0.0567086
338,0.0506554
339,0.0475588
340,0.0485468
341,0.040508
342,0.0561499
343,0.0436565
344,0.0365092
345,0.176727
346,0.108122
347,0.0526537
348,0.0655764
349,0.0472524
350,0.0544378
351,0.0522784
352,0.0472418
353,0.060031
354,0.0940214
355,0.121725
356,0.0626845
357,0.0693844
358,0.0614887
359,0.0309362
360,0.0351035
361,0.0393365
362,0.115305
363,0.0515628
364,0.0434752
365,0.0498317
366,0.0322476
367,0.034725
368,0.0315182
369,0.0531615
370,0.0867405
371,0.0361859
372,0.0710434
373,0.0545545
374,0.0479054
375,0.0482425
376,0.0507465
377,0.0451788
378,0.0374411
379,0.074898
380,0.0860356
381,0.0417271
382,0.0562718
383,0.0500861
384,0.046575
385,0.0541739
386,0.0302493
387,0.0746616
388,0.0494479
389,0.0443541
390,0.0332886
391,0.0403214
392,0.0351703
393,0.0350908
394,0.0398019
395,0.0543923
396,0.0524417
397,0.0786328
398,0.024777
399,0.077367
400,0.0197912
401,0.011039
402,0.00931203
403,0.0330427
404,0.123659
405,0.0826178
406,0.0444039
407,0.0424215
408,0.0229811
409,0.02633
410,0.0296535
411,0.0320504
412,0.0392857
413,0.0493938
414,0.042025
415,0.0326016
416,0.0306871
417,0.0350219
418,0.0361869
419,0.0199397
420,0.086837
421,0.0361445
422,0.0486009
423,0.056786
424,0.0497394
425,0.0288435
426,0.036822
427,0.0356092
428,0.0414239
429,0.0469874
430,0.0424967
431,0.0289019
432,0.036505
433,0.0422762
434,0.0337646
435,0.0418161
436,0.0621226
437,0.0496673
438,0.0405334
439,0.0226069
440,0.0287704
441,0.014972
442,0.0354353
443,0.0207835
444,0.0264381
445,0.0561945
446,0.0620855
447,0.0572673
448,0.0489051
449,0.0518565
450,0.0367901
451,0.0402843
452,0.0437031
453,0.0411037
454,0.0916245
455,0.044988
456,0.0381937
457,0.0454597
458,0.0346349
459,0.0271156
460,0.0220291
461,0.0181915
462,0.0766461
463,0.0209934
464,0.0361223
465,0.0400288
466,0.0307062
467,0.0252784
468,0.029346
469,0.0251162
470,0.0599695
471,0.0444039
472,0.064669
473,0.0644591
474,0.0794311
475,0.100113
476,0.149218
477,0.171654
478,0.166227
479,0.172722
480,0.191584
481,0.246604
482,0.296843
483,0.269597
484,0.295171
485,0.241746
486,0.233941
487,0.308713
488,0.259812
489,0.464402
490,0.463674
491,0.532586
492,0.519651
493,0.514935
494,0.520277
495,0.530785
496,0.533635
497,0.467987
498,0.480756
499,0.519289
500,0.509682
501,0.583327
502,0.444796
503,0.534889
504,0.539254
505,0.560418
506,0.540621
507,0.569725
508,0.511823
509,0.543504
510,0.55179
511,0.549784
512,0.518862
513,0.495808
514,0.498772
515,0.476915
516,0.511763
517,0.500182
518,0.488921
519,0.493248
520,0.515521
521,0.501587
522,0.429694
523,0.466663
524,0.519128
525,0.504484
526,0.502937
527,0.514198
528,0.52811
529,0.516678
530,0.435015
531,0.454782
532,0.392429
533,0.427279
534,0.451675
535,0.442181
536,0.442438
537,0.453071
538,0.412991
539,0.390717
540,0.310174
541,0.393911
542,0.314169
543,0.399649
544,0.437343
545,0.404216
546,0.421611
547,0.517629
548,0.472965
549,0.479509
550,0.427732
551,0.387662
552,0.457937
553,0.430024
554,0.393514
555,0.41997
556,0.371416
557,0.303619
558,0.272343
559,0.24393
560,0.328654
561,0.369813
562,0.357936
563,0.400033
564,0.44441
565,0.433595
566,0.477717
567,0.443589
568,0.47074
569,0.467973
570,0.412445
571,0.351271
572,0.4168
573,0.437836
574,0.406433
575,0.382922
576,0.400634
577,0.434205
578,0.391914
579,0.42458
580,0.433438
581,0.436959
582,0.415124
583,0.413558
584,0.421303
585,0.453032
586,0.436152
587,0.405591
588,0.309205
589,0.346603
590,0.388668
591,0.387357
592,0.348414
593,0.350392
594,0.333732
595,0.288446
596,0.275067
597,0.282902
598,0.303705
599,0.280272
600,0.312684
601,0.331053
602,0.365608
603,0.327776
604,0.329622
605,0.289546
606,0.255553
607,0.293217
608,0.236496
609,0.271123
610,0.313968
611,0.276134
612,0.261424
613,0.269025
614,0.212901
615,0.222342
616,0.180338
617,0.133486
618,0.165771
619,0.170246
620,0.147256
621,0.1272
622,0.212009
623,0.204349
624,0.181462
625,0.201593
626,0.245663
627,0.255052
628,0.286645
629,0.32424
630,0.315238
631,0.340991
632,0.360114
633,0.390933
634,0.416579
635,0.404706
636,0.366213
637,0.355339
638,0.364478
639,0.345119
640,0.287899
